Model,Reference number,Movement,Case material,Bracelet material,Year of production,Condition,Gender,Price,shipping,Seller Name,Base caliber,Dial,Dial numerals,Confirm Reference Number ,Condition Details,Box,Papers,Country,City
Yacht-Master 40,16622,Automatic,Steel,Steel,2010,Used,Male,15300,150,Harbour Time,3135,Silver,None,16622,Fair,Yes,Yes,Australia,New South Wales
Submariner Date,116610LV,Automatic,Steel,Steel,2011,Used,Male,28800,100,DixonWatchCo,3135,Green,None,116610LV,Good,Yes,Yes,Australia,Sydney
Sea-Dweller Deepsea,126660,Automatic,Steel,Steel,2020,Used,Male,25850,400,Calibre24 Pty. Ltd.,3235,Blue,None,126660,Very good,Yes,Yes,Australia,East Perth
GMT-Master II,126710BLNR,Automatic,Steel,Steel,2019,Used,Male,26106,331,Perusia Watches Srl,3186,Black,None,126710BLNR,Very good,Yes,Yes,Italy,Perugia
Sky-Dweller,336934,Automatic,Steel,Steel,2024,Like new & unworn,Male,44500,100,Just Watch It Pty Ltd,Unknown,,,336934,Unknown,Yes,Yes,Australia,Bondi Junction
GMT-Master II,126710BLRO,Automatic,Steel,Steel,2022,Used,Male,31900,100,The Watch Business,3186,Black,None,126710BLRO,Good,Yes,Yes,Australia,Sydney
Lady-Datejust,69173,Automatic,Steel,Gold/Steel,Unknown,Used,Female,12500,0,MARTHA & KOZMA,2135,Green,None,69173,Very good,No,Yes,Australia,"Bexley,Nsw"
Datejust 31,278271,Automatic,Gold/Steel,Gold/Steel,2022,Used,Female,25995,495,WATCH KINGDOM,3135,Purple,,278271,Very good,Yes,Yes,Australia,Sydney
Submariner Date,126613lb,Automatic,Gold/Steel,Gold/Steel,2024,New,Male,31400,29,Swiss Link Ptd Ltd,3135,Blue,None,126613lb,Unknown,Yes,Yes,Australia,"Sydney, Nsw"
Oyster Perpetual 34,124200,Automatic,Steel,Steel,2021,Used,Male,9250,150,Harbour Time,3130,Black,Arabic,124200,Fair,Yes,Yes,Australia,New South Wales
Sea-Dweller,16660,Automatic,Steel,Steel,1986,Used,Male,17888,100,DixonWatchCo,Unknown,Black,None,16660,Good,Yes,Yes,Australia,Sydney
Submariner Date,116610LN,Automatic,Steel,Steel,2017,Used,Male,19700,180,WatchCraze,3135,Black,None,116610LN,Good,Yes,Yes,Australia,Sydney
Datejust 41,126331,Automatic,Rose gold,Gold/Steel,2021,Like new & unworn,Male,16810,120,EMINERE,3135,Pink,None,126331,Unknown,Yes,Yes,Australia,Melbourne
Day-Date 40,228239,Automatic,White gold,White gold,2024,Like new & unworn,Male,71140,100,Just Watch It Pty Ltd,3135,Green,Roman,228239,Unknown,Yes,Yes,Australia,Bondi Junction
Daytona,126500ln,Automatic,Steel,Steel,2023,Like new & unworn,Male,46406,0,Lifestyle Watches,4131,Black,None,126500ln,Unknown,Yes,Yes,Germany,Kaufbeuren
Datejust 41,126334,Automatic,Steel,Steel,2024,New,Male,28490,400,Calibre24 Pty. Ltd.,3135,Blue,None,126334,Unknown,No,Yes,Australia,East Perth
Datejust 36,126281RBR,Automatic,Gold/Steel,Gold/Steel,2024,New,Male,36995,495,WATCH KINGDOM,Unknown,Black,,126281RBR,Unknown,Yes,Yes,Australia,Sydney
GMT-Master II,126711CHNR,Automatic,Gold/Steel,Gold/Steel,2020,Used,Male,32500,100,Circle Red Watches,3285,Black,None,126711CHNR,Very good,Yes,Yes,Australia,New South Wales
Explorer I,114270,Automatic,Steel,Steel,2007,Used,Male,10999,150,Harbour Time,3130,Black,Arabic,114270,Good,Yes,Yes,Australia,New South Wales
Explorer II,16550,Automatic,Steel,Steel,1988,Used,Male,13500,100,DixonWatchCo,Unknown,Black,None,16550,Good,Yes,Yes,Australia,Sydney
Datejust 36,116200,Automatic,Steel,Steel,Unknown,Used,Male,21500,0,MARTHA & KOZMA,3135,White,Roman,116200,Very good,Yes,Yes,Australia,Prestons
Sky-Dweller,326934,Automatic,Steel,Steel,2019,Used,Male,27400,180,WatchCraze,3135,Black,None,326934,Very good,Yes,Yes,Australia,Sydney
Explorer II,16570,Automatic,Steel,Steel,1999,Used,Male,11398,218,Watches to Watch,3185,White,None,16570,Good,No,Yes,Denmark,Aalborg
Datejust 41,126331,Automatic,Gold/Steel,Gold/Steel,2023,New,Male,22683,300,EMINERE,3135,Brown,None,126331,Unknown,Yes,Yes,Australia,Melbourne
GMT-Master II,126711CHNR,Automatic,Gold/Steel,Gold/Steel,2024,New,Male,37180,400,Calibre24 Pty. Ltd.,3285,Black,None,126711CHNR,Unknown,Yes,Yes,Australia,East Perth
Datejust 36,126231,Automatic,Steel,Gold/Steel,2024,New,Male,23500,495,WATCH KINGDOM,3135,Brown,,126231,Unknown,Yes,Yes,Australia,Sydney
Daytona,116500LN,Automatic,Steel,Steel,2023,Used,Male,52000,29,Swiss Link Ptd Ltd,4130,White,None,116500LN,Very good,Yes,Yes,Australia,"Sydney, Nsw"
Day-Date 36,118239,Automatic,White gold,White gold,Unknown,nan,Male,62000,300,Watch Exchange,Unknown,Mother of pearl,None,118239,Unknown,No,No,Unknown,Unknown
Datejust 41,126300,Automatic,Steel,Steel,2023,Like new & unworn,Male,14500,129,SwissWatchGallery,3135,Blue,None,126300,Unknown,Yes,Yes,Australia,Sydney
Daytona,116500LN,Automatic,Steel,Steel,2021,Used,Male,41431,1497,Elbwatches,4130,Black,None,116500LN,Very good,Yes,Yes,Germany,Niedersachsen - Buchholz In Der Nordheide
Datejust 36,126231,Automatic,Steel,Gold/Steel,2024,Like new & unworn,Male,25970,180,WatchCraze,3135,Black,,126231,Unknown,Yes,Yes,Australia,Sydney
Day-Date 40,228235,Automatic,Rose gold,Rose gold,2024,New,Male,81818,880,HOUR VAULT,3255,Green,Roman,228235,Unknown,Yes,Yes,Australia,Sydney
Yacht-Master 42,226659,Automatic,White gold,White gold,Unknown,nan,Male,81000,300,TIME KEEPER BOUTIQUE AU,3035,Unknown,,226659,Unknown,No,No,Unknown,Unknown
Daytona,116500LN,Automatic,Steel,Steel,2019,Used,Male,48000,90,Dovi & Co,4130,White,None,116500LN,Very good,Yes,Yes,Australia,Melbourne
Datejust 41,126334,Automatic,Steel,Steel,2019,Used,Male,20350,100,DixonWatchCo,3135,Blue,None,126334,Very good,Yes,Yes,Australia,Sydney
R7917885UB8570,No Reference,Unknown,Yellow gold,Unknown,Unknown,nan,Unknown,15965,0,Unknown,Unknown,,,No Reference,Unknown,No,No,Unknown,Unknown
Daytona,6265,Manual winding,Steel,Steel,1976,Used,Male,115000,0,Watch Vault,Unknown,Silver,None,6265,Good,No,No,Australia,Mount Eliza
GMT-Master II,126710GRNR,Automatic,Steel,Steel,2024,New,Male,51300,29,Swiss Link Ptd Ltd,Unknown,Black,None,126710GRNR,Unknown,Yes,Yes,Australia,"Sydney, Nsw"
GMT-Master II,126710BLRO,Automatic,Steel,Steel,2024,New,Male,38000,100,The Watch Business,3186,Black,None,126710BLRO,Unknown,Yes,Yes,Australia,Sydney
Daytona,116503,Automatic,Gold/Steel,Gold/Steel,2022,Used,Male,32995,495,WATCH KINGDOM,4130,Champagne,None,116503,Very good,Yes,Yes,Australia,Sydney
Lady-Datejust,279171,Automatic,Gold/Steel,Gold/Steel,2023,Used,Female,22790,180,WatchCraze,3135,Brown,,279171,Very good,Yes,Yes,Australia,Sydney
Day-Date 36,18138,Automatic,Yellow gold,Yellow gold,1986,Used,Male,62379,331,Time Boutique,3135,Brown,None,18138,Very good,Yes,Yes,Germany,München
Day-Date 40,228235,Automatic,Rose gold,Rose gold,2022,Used,Male,68888,880,HOUR VAULT,3255,Pink,Roman,228235,Very good,Yes,Yes,Australia,Sydney
GMT-Master II,126710BLRO,Automatic,Steel,Steel,2022,Like new & unworn,Male,33278,1248,Watch Club GmbH,3186,Black,None,126710BLRO,Unknown,Yes,Yes,Germany,Stuttgart
Sky-Dweller,326933,Automatic,Gold/Steel,Gold/Steel,2022,Like new & unworn,Male,32000,179,Chrono Forever,3135,Champagne,None,No Reference,Unknown,Yes,Yes,Australia,Parramatta
GMT-Master II,126711CHNR,Automatic,Gold/Steel,Gold/Steel,2022,Used,Male,29192,608,My Watch LLC,3285,Black,None,126711CHNR,Very good,Yes,Yes,Unknown,"Michigan, Oak Park, Mi"
Lady-Datejust,69163,Automatic,Gold/Steel,Gold/Steel,1996,Used,Female,8000,100,DixonWatchCo,Unknown,Black,,69163,Good,Yes,Yes,Australia,Sydney
Submariner Date,126618LB,Automatic,Yellow gold,Yellow gold,2022,Like new & unworn,Male,64891,0,Unknown,Unknown,,,126618LB,Unknown,Yes,Yes,Germany,Kassel
Submariner Date,116610LN,Automatic,Steel,Steel,2018,New,Male,22150,29,Swiss Link Ptd Ltd,3135,Black,None,116610LN,Unknown,Yes,Yes,Australia,"Sydney, Nsw"
Datejust 41,126334,Automatic,Steel,Steel,2022,Used,Male,23365,300,EMINERE,3135,Blue,None,126334,Very good,Yes,Yes,Australia,Melbourne
Sea-Dweller,126600,Automatic,Steel,Steel,2020,Used,Male,20800,100,The Watch Business,3135,Black,None,126600,Very good,Yes,Yes,Australia,Sydney
Yacht-Master 37,268261,Automatic,Gold/Steel,Gold/Steel,2022,Used,Male,21200,180,WatchCraze,3135,Brown,None,No Reference,Very good,Yes,Yes,Australia,Sydney
GMT-Master II,126710BLNR,Automatic,Steel,Steel,2024,New,Male,27888,880,HOUR VAULT,3285,Black,None,126710BLNR,Unknown,Yes,Yes,Australia,Sydney
GMT-Master II,116713LN,Automatic,Gold/Steel,Gold/Steel,1991,Used,Male,20867,0,Unknown,Unknown,,,116713LN,Very good,Yes,Yes,Switzerland,Bellinzona
Yacht-Master 40,126622,Automatic,Steel,Steel,Unknown,nan,Male,24875,498,Pulzo GmbH & Co KG,3235,Grey,None,126622,Unknown,No,No,Unknown,Unknown
Datejust 41,126334,Automatic,Steel,Steel,2024,New,Male,21890,400,Calibre24 Pty. Ltd.,3135,White,None,126334,Unknown,Yes,Yes,Australia,East Perth
Daytona,116509,Automatic,White gold,White gold,Unknown,nan,Male,208000,300,TIME KEEPER BOUTIQUE AU,4130,Unknown,Arabic,116509,Unknown,No,No,Unknown,Unknown
Sky-Dweller,336934,Automatic,White gold,Steel,2024,Used,Male,45600,29,Swiss Link Ptd Ltd,9002,Green,None,336934,Very good,Yes,Yes,Australia,"Sydney, Nsw"
Yacht-Master 40,126655,Automatic,Rose gold,Rubber,2021,Used,Male,45950,250,Professional Timepieces,3235,Black,None,126655,Very good,Yes,Yes,Australia,Varsity Lakes
Datejust 41,126331,Automatic,Gold/Steel,Gold/Steel,2023,Like new & unworn,Male,25888,880,HOUR VAULT,3135,Pink,None,126331,Unknown,Yes,Yes,Australia,Sydney
Sea-Dweller,126600,Automatic,Steel,Steel,2017,Used,Male,21100,180,WatchCraze,3135,Black,None,126600,Very good,Yes,Yes,Australia,Sydney
Submariner Date,116610LV,Automatic,Steel,Steel,2016,Used,Male,28952,331,Xelor B.V.,3135,Green,None,116610LV,Very good,Yes,Yes,Unknown,Amstelveen
Oyster Perpetual 41,124300,Automatic,Steel,Steel,2021,Used,Male,12712,165,Watches Of Distinction Ltd,3135,Silver,None,124300,Very good,Yes,Yes,United Kingdom,Hampshire
Datejust 41,126333,Automatic,Gold/Steel,Gold/Steel,2022,Used,Male,27106,300,EMINERE,3135,Grey,None,126333,Very good,Yes,Yes,Australia,Melbourne
GMT-Master II,126710GRNR,Automatic,Steel,Steel,2024,New,Male,32450,400,Calibre24 Pty. Ltd.,3186,Black,None,126710GRNR,Unknown,Yes,Yes,Australia,East Perth
Daytona,116508,Automatic,Yellow gold,Yellow gold,Unknown,nan,Male,90890,300,Watch Exchange,4130,Mother of pearl,None,116508,Unknown,No,No,Unknown,Unknown
Datejust 41,126331,Automatic,Gold/Steel,Gold/Steel,2024,New,Male,29999,29,Swiss Link Ptd Ltd,3135,Brown,None,126331,Unknown,Yes,Yes,Australia,"Sydney, Nsw"
Datejust 36,1603,Automatic,Steel,Steel,1971,Used,Male,6900,40,Flybackvintage,1570,Silver,None,1603,Good,No,Yes,Australia,Victoria
Daytona,116523,Automatic,Gold/Steel,Gold/Steel,2016,Used,Male,29449,314,Deepsea,4130,Black,None,116523,Very good,Yes,Yes,Hungary,Sopron
Datejust 41,126300,Automatic,Steel,Steel,2024,Used,Male,16500,180,WatchCraze,3135,Blue,None,126300,Very good,Yes,Yes,Australia,Sydney
Oyster Perpetual 41,124300,Automatic,Steel,Steel,2020,Used,Male,13306,138,WL Timepieces Ltd.,3135,Blue,None,124300,Very good,Yes,Yes,Canada,Port Moody
Submariner,114060,Automatic,Steel,Steel,2017,Used,Male,17138,0,IL CUSTODE DEL TEMPO SRL,3130,Black,None,114060,Very good,Yes,Yes,Italy,Terni
Day-Date 40,2023,Automatic,Yellow gold,Yellow gold,2019,Like new & unworn,Male,77995,99,SwissWatchGallery,3135,Black,,No Reference,Unknown,Yes,Yes,Australia,Sydney
Sea-Dweller Deepsea,126660,Automatic,Steel,Steel,Unknown,nan,Male,20750,300,TIME KEEPER BOUTIQUE AU,3235,Black,None,126660,Unknown,No,No,Unknown,Unknown
Sea-Dweller 4000,116600,Automatic,Steel,Steel,2024,nan,Unknown,22050,0,Hailwood Peters Watches,3135,Unknown,,4000,Unknown,No,No,Unknown,Unknown
Day-Date 40,228239,Automatic,White gold,White gold,2024,Used,Male,75150,29,Swiss Link Ptd Ltd,3135,Green,Roman,228239,Very good,Yes,Yes,Australia,"Sydney, Nsw"
Submariner Date,126618LB,Automatic,Yellow gold,Yellow gold,2024,New,Male,67888,880,HOUR VAULT,Unknown,Blue,None,126618LB,Unknown,Yes,Yes,Australia,Sydney
GMT-Master II,126713grnr,Automatic,Gold/Steel,Gold/Steel,2023,Used,Male,33500,250,Professional Timepieces,3186,Black,None,126713grnr,Very good,Yes,Yes,Australia,Varsity Lakes
Sea-Dweller,126603,Automatic,Gold/Steel,Gold/Steel,2020,Used,Male,26000,180,WatchCraze,3235,Black,None,126603,Very good,Yes,Yes,Australia,Sydney
GMT-Master II,126715CHNR,Automatic,Rose gold,Rose gold,2022,Like new & unworn,Male,59995,495,WATCH KINGDOM,Unknown,Black,None,126715CHNR,Unknown,Yes,Yes,Australia,Sydney
Datejust 36,116231,Automatic,Gold/Steel,Gold/Steel,2006,Used,Male,16456,0,Superior Chrono,3135,Black,None,116231,Very good,Yes,Yes,Germany,Mannheim
Day-Date 40,228345,Automatic,Rose gold,Rose gold,2022,Like new & unworn,Male,93995,99,SwissWatchGallery,Unknown,Green,Roman,228345,Unknown,Yes,Yes,Australia,Sydney
Datejust Oysterquartz,17013,Quartz,Gold/Steel,Gold/Steel,Unknown,nan,Male,10500,0,The Watch Culture,Unknown,Silver,None,17013,Unknown,No,No,Unknown,Unknown
Daytona,116500LN,Automatic,Steel,Steel,2023,New,Male,45000,100,Circle Red Watches,4130,Black,None,116500LN,Unknown,Yes,Yes,Australia,New South Wales
Sky-Dweller,336935,Automatic,Rose gold,Rose gold,2024,New,Male,135000,29,Swiss Link Ptd Ltd,Unknown,Blue,None,336935,Unknown,Yes,Yes,Australia,"Sydney, Nsw"
GMT-Master II,126718grnr,Automatic,Yellow gold,Yellow gold,2023,Used,Male,72884,500,EMINERE,Unknown,Black,None,126718grnr,Very good,Yes,Yes,Australia,Melbourne
Milgauss,116400,Automatic,Steel,Steel,2018,Used,Male,14143,1497,Elbwatches,3131,Black,None,116400,Very good,Yes,Yes,Germany,Niedersachsen - Buchholz In Der Nordheide
Datejust 36,126231,Automatic,Steel,Gold/Steel,2024,Used,Male,26000,180,WatchCraze,3135,Brown,,126231,Very good,Yes,Yes,Australia,Sydney
Sky-Dweller,326933,Automatic,Yellow gold,Yellow gold,2022,Like new & unworn,Male,32900,179,Chrono Forever,Unknown,Black,None,326933,Unknown,Yes,Yes,Australia,Parramatta
Submariner Date,126610LN,Automatic,Steel,Steel,2023,New,Male,23548,151,Watches OFF 5TH,3135,Black,None,126610LN,Unknown,Yes,Yes,Unknown,"New York, New York"
Datejust 41,126334,Automatic,White gold,Steel,2022,Used,Male,21464,0,Exclusive Watches,3135,Black,None,126334,Very good,Yes,Yes,Germany,Stuttgart
Air King,5501,Automatic,Gold/Steel,Leather,1984,Used,Male,6850,0,Watch Vault,Unknown,Unknown,,5501,Good,No,Yes,Australia,Mount Eliza
Submariner Date,126619LB,Automatic,White gold,White gold,Unknown,nan,Male,65000,300,Watch Exchange,Unknown,Black,None,126619LB,Unknown,No,No,Unknown,Unknown
Datejust 41,126300,Automatic,Steel,Steel,2024,Used,Male,16300,150,Harbour Time,3135,Blue,None,126300,Very good,Yes,Yes,Australia,New South Wales
Datejust 36,126234,Automatic,White gold,Steel,2024,New,Male,26350,29,Swiss Link Ptd Ltd,3135,Purple,None,126234,Unknown,Yes,Yes,Australia,"Sydney, Nsw"
Submariner Date,126610LN,Automatic,Steel,Steel,2022,New,Male,23579,151,Watches OFF 5TH,3135,Black,None,126610LN,Unknown,Yes,Yes,Unknown,"New York, New York"
Submariner Date,126610lv,Automatic,Steel,Steel,2021,Like new & unworn,Male,24442,0,Lifestyle Watches,3135,Black,None,126610lv,Unknown,Yes,Yes,Germany,Kaufbeuren
Explorer I,6098,Automatic,Steel,Steel,Unknown,nan,Male,14400,0,The Watch Culture,Unknown,Unknown,,6098,Unknown,No,No,Unknown,Unknown
Sky-Dweller,326934,Automatic,Steel,Steel,2022,Used,Male,29700,180,WatchCraze,3135,Black,None,326934,Very good,Yes,Yes,Australia,Sydney
Datejust 31,278273,Automatic,Steel,Gold/Steel,2024,New,Female,24995,129,SwissWatchGallery,3135,Grey,,278273,Unknown,Yes,Yes,Australia,Sydney
Submariner Date,116610LV,Automatic,Steel,Steel,2015,Used,Male,29952,0,WM Time LLC,3135,Green,None,116610LV,Very good,Yes,Yes,Unknown,"Pennsylvania, Fort Washington"
Daytona,126505,Automatic,Rose gold,Rose gold,2023,New,Male,81384,151,Watches OFF 5TH,Unknown,Pink,None,126505,Unknown,Yes,Yes,Unknown,"New York, New York"
Submariner Date,116618LB,Automatic,Yellow gold,Yellow gold,2017,Used,Male,59500,250,Professional Timepieces,3135,Blue,None,116618LB,Very good,Yes,Yes,Australia,Varsity Lakes
Day-Date 36,128235,Automatic,Rose gold,Rose gold,2022,Like new & unworn,Male,70000,300,Watch Exchange,Unknown,Pink,None,128235,Unknown,Yes,Yes,Australia,Sydney
Yacht-Master 42,226659,Automatic,White gold,White gold,Unknown,nan,Male,45150,0,Hailwood Peters Watches,3035,Unknown,,226659,Unknown,No,No,Unknown,Unknown
Sky-Dweller,336935,Automatic,Rose gold,Rose gold,2023,Used,Male,109100,29,Swiss Link Ptd Ltd,Unknown,Blue,None,336935,Very good,Yes,Yes,Australia,"Sydney, Nsw"
Datejust 41,126331,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,26850,300,TIME KEEPER BOUTIQUE AU,3135,Silver,None,126331,Unknown,No,No,Unknown,Unknown
Datejust 36,16233,Automatic,Gold/Steel,Gold/Steel,1990,Used,Male,9112,0,Unknown,Unknown,,,16233,Good,No,Yes,Unknown,"Florida, Key Biscayne"
Sea-Dweller Deepsea,126660,Automatic,Steel,Steel,2021,Like new & unworn,Male,23000,179,Chrono Forever,Unknown,Unknown,,126660,Unknown,Yes,Yes,Australia,Parramatta
Datejust 31,278274,Automatic,Steel,Steel,2023,Used,Female,17500,180,WatchCraze,Unknown,Green,,278274,Very good,No,Yes,Australia,Sydney
Datejust 36,126200,Automatic,Steel,Steel,2024,New,Male,16280,400,Calibre24 Pty. Ltd.,3135,Blue,None,126200,Unknown,Yes,Yes,Australia,East Perth
Submariner Date,2024,Automatic,Steel,Steel,2024,New,Male,22995,129,SwissWatchGallery,3135,Black,None,No Reference,Unknown,Yes,Yes,Australia,Sydney
Daytona,116520,Automatic,Steel,Steel,2014,Used,Male,34900,100,The Watch Business,4130,Black,None,116520,Very good,Yes,Yes,Australia,Sydney
Sky-Dweller,326935,Automatic,Rose gold,Rose gold,2023,Used,Male,87259,250,Professional Timepieces,Unknown,Bronze,Roman,326935,Very good,Yes,Yes,Australia,Varsity Lakes
GMT-Master II,126711CHNR,Automatic,Gold/Steel,Gold/Steel,2023,New,Male,34888,880,HOUR VAULT,3285,Black,None,126711CHNR,Unknown,Yes,Yes,Australia,Sydney
GMT-Master II,126713GRNR,Automatic,Steel,Steel,Unknown,nan,Male,33500,0,Hailwood Peters Watches,Unknown,Unknown,,126713grnr,Unknown,No,No,Unknown,Unknown
Datejust 41,126334,Automatic,White gold,Steel,2024,New,Male,24126,0,Exclusive Watches,3135,Green,None,126334,Unknown,Yes,Yes,Germany,Stuttgart
Datejust 41,126331,Automatic,Gold/Steel,Gold/Steel,2024,Used,Male,28500,180,WatchCraze,3135,Brown,None,126331,Very good,Yes,Yes,Australia,Sydney
Submariner Date,126613lb,Automatic,Gold/Steel,Gold/Steel,2024,New,Male,32945,400,Calibre24 Pty. Ltd.,3135,Blue,None,126613lb,Unknown,Yes,Yes,Australia,East Perth
Datejust 41,2023,Automatic,Steel,Steel,2023,New,Male,23995,129,SwissWatchGallery,3135,Blue,None,No Reference,Unknown,Yes,Yes,Australia,Sydney
Daytona,116500LN,Automatic,Steel,Steel,2022,Used,Male,52000,100,Circle Red Watches,4130,White,None,116500LN,Very good,Yes,Yes,Australia,New South Wales
Lady-Datejust,69138,Automatic,Yellow gold,Yellow gold,1994,Used,Female,23980,300,Watch Exchange,Unknown,Champagne,None,69138,Good,Yes,Yes,Australia,Sydney
Daytona,116515ln,Automatic,Red gold,Rubber,2020,New,Male,79500,250,Professional Timepieces,4130,Pink,None,116515ln,Unknown,Yes,Yes,Australia,Varsity Lakes
Daytona,116503,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,32945,832,Rhino Exclusive GmbH,4130,White,None,116503,Unknown,No,No,Unknown,Unknown
Datejust 41,126333,Automatic,Gold/Steel,Gold/Steel,2024,Used,Male,32900,29,Swiss Link Ptd Ltd,3135,Gold,None,126333,Very good,Yes,Yes,Australia,"Sydney, Nsw"
Yacht-Master 40,16622,Automatic,Steel,Steel,2008,Used,Male,16140,416,Uhren Struck,3135,Silver,None,16622,Very good,Yes,Yes,Germany,Essen
Yacht-Master 40,126621,Automatic,Gold/Steel,Gold/Steel,2021,Used,Male,24200,180,WatchCraze,Unknown,Brown,None,126621,Very good,No,Yes,Australia,Sydney
Datejust 41,126334,Automatic,Steel,Steel,2020,Used,Male,26950,400,Calibre24 Pty. Ltd.,3135,Blue,None,126334,Very good,Yes,Yes,Australia,East Perth
GMT-Master II,2024,Automatic,Steel,Steel,2024,New,Male,27999,129,SwissWatchGallery,3186,Black,None,No Reference,Unknown,Yes,Yes,Australia,Sydney
Submariner Date,116610LN,Automatic,Steel,Steel,2020,Like new & unworn,Male,21500,179,Chrono Forever,3135,Black,None,116610LN,Unknown,Yes,Yes,Australia,Parramatta
GMT-Master II,16710T,Automatic,Steel,Steel,Unknown,nan,Male,19467,416,Gioielleria Gusci,3185,Black,None,16710,Unknown,No,No,Unknown,Unknown
Sea-Dweller Deepsea,136660-0004,Automatic,Steel,Steel,Unknown,nan,Male,21000,0,Hailwood Peters Watches,Unknown,Unknown,,136660,Unknown,No,No,Unknown,Unknown
Explorer I,214270,Automatic,Steel,Steel,2016,Used,Male,13970,29,Fine Timepieces,3132,Black,Arabic,214270,Good,Yes,Yes,Australia,Brisbane
Datejust 36,126233,Automatic,Steel,Gold/Steel,2022,Used,Male,28000,29,Swiss Link Ptd Ltd,3135,Gold,,126233,Very good,Yes,Yes,Australia,"Sydney, Nsw"
Explorer I,124270,Automatic,Steel,Steel,2021,Used,Male,12396,416,Uhren Struck,Unknown,Black,Arabic,124270,Very good,Yes,Yes,Germany,Essen
Oyster Perpetual 41,124300,Automatic,Steel,Steel,2024,New,Male,29590,400,Calibre24 Pty. Ltd.,3135,Blue,None,124300,Unknown,Yes,Yes,Australia,East Perth
Yacht-Master 42,226658,Automatic,Yellow gold,Rubber,2023,Like new & unworn,Male,49995,129,SwissWatchGallery,Unknown,Black,None,226658,Unknown,Yes,Yes,Australia,Sydney
Air King,116900,Automatic,Steel,Steel,2022,New,Male,15500,179,Chrono Forever,Unknown,Black,,116900,Unknown,Yes,Yes,Australia,Parramatta
Daytona,116520,Automatic,Steel,Steel,2004,Used,Male,33783,165,Watches Of Distinction Ltd,4130,Black,None,116520,Very good,Yes,Yes,United Kingdom,Hampshire
Datejust 36,126234,Automatic,Gold/Steel,Steel,2023,Used,Male,24500,300,Professional Timepieces,3135,Mother of pearl,None,126234,Very good,Yes,Yes,Australia,Varsity Lakes
